row_id,user_id,user_state,user_manager,email
1,101,active,102,user101@company.com
2,102,active,116,user102@company.com
3,103,active,118,user103@company.com
4,104,active,117,user104@company.com
5,105,active,120,user105@company.com
6,106,active,120,user106@company.com
7,107,active,113,user107@company.com
8,108,active,106,user108@company.com
9,109,active,108,user109@company.com
10,110,active,117,user110@company.com
11,111,inactive,109,user111@company.com
12,112,inactive,115,user112@company.com
13,113,inactive,116,user113@company.com
14,114,inactive,110,user114@company.com
15,115,inactive,104,user115@company.com
16,116,inactive,120,user116@company.com
17,117,inactive,109,user117@company.com
18,118,inactive,103,user118@company.com
19,119,inactive,102,user119@company.com
20,120,inactive,118,user120@company.com
